Region 82 Avg IOU: 0.342183, Class: 0.638704, Obj: 0.196474, No Obj: 0.489596, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.315111, Class: 0.319985, Obj: 0.326954, No Obj: 0.496328, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.062480, Class: 0.080214, Obj: 0.473955, No Obj: 0.604437, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.172281, Class: 0.285791, Obj: 0.360354, No Obj: 0.496921, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.044319, Class: 0.860267, Obj: 0.960894, No Obj: 0.490468, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.157621, Class: 0.674776, Obj: 0.594404, No Obj: 0.603934, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.081136, Class: 0.353256, Obj: 0.533680, No Obj: 0.496657, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: 0.126708, Class: 0.756460, Obj: 0.783731, No Obj: 0.490310, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.176568, Class: 0.370095, Obj: 0.832572, No Obj: 0.602353, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: 0.276559, Class: 0.354614, Obj: 0.485005, No Obj: 0.496912, .5R: 0.200000, .75R: 0.000000,  count: 10
Region 94 Avg IOU: 0.202119, Class: 0.420600, Obj: 0.831473, No Obj: 0.602200, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.154643, Class: 0.292784, Obj: 0.686832, No Obj: 0.498486, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.234851, Class: 0.432561, Obj: 0.758435, No Obj: 0.486802, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.144623, Class: 0.440418, Obj: 0.673391, No Obj: 0.497162, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.121491, Class: 0.456196, Obj: 0.865568, No Obj: 0.602513, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.145411, Class: 0.401523, Obj: 0.346002, No Obj: 0.496380, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 106 Avg IOU: 0.115631, Class: 0.382036, Obj: 0.360422, No Obj: 0.496316, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.143505, Class: 0.495629, Obj: 0.509733, No Obj: 0.499399, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.008687, Class: 0.507635, Obj: 0.828418, No Obj: 0.488030, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.128041, Class: 0.392428, Obj: 0.346711, No Obj: 0.496259, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.256058, Class: 0.913471, Obj: 0.779479, No Obj: 0.603367, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.115750, Class: 0.301839, Obj: 0.454628, No Obj: 0.498832, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 82 Avg IOU: 0.096346, Class: 0.499901, Obj: 0.820202, No Obj: 0.489818, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.046482, Class: 0.508132, Obj: 0.882447, No Obj: 0.601496, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.196788, Class: 0.447717, Obj: 0.452909, No Obj: 0.498001, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 82 Avg IOU: 0.047807, Class: 0.598364, Obj: 0.829912, No Obj: 0.486480, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.059642, Class: 0.334169, Obj: 0.626598, No Obj: 0.603991, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.139796, Class: 0.361950, Obj: 0.716874, No Obj: 0.497186, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: 0.206640, Class: 0.377381, Obj: 0.456402, No Obj: 0.497777, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.180223, Class: 0.694175, Obj: 0.474590, No Obj: 0.489376, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.129156, Class: 0.312399, Obj: 0.421679, No Obj: 0.497760, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.188011, Class: 0.309845, Obj: 0.513202, No Obj: 0.499480, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.069786, Class: 0.789930, Obj: 0.913319, No Obj: 0.489993, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.104672, Class: 0.510010, Obj: 0.762302, No Obj: 0.606450, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.172814, Class: 0.345927, Obj: 0.524218, No Obj: 0.496158, .5R: 0.071429, .75R: 0.000000,  count: 14
Region 94 Avg IOU: 0.266501, Class: 0.295855, Obj: 0.844098, No Obj: 0.604198, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.162617, Class: 0.255534, Obj: 0.278219, No Obj: 0.497502, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.103443, Class: 0.247405, Obj: 0.957552, No Obj: 0.601277, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.129158, Class: 0.373005, Obj: 0.414271, No Obj: 0.494970, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.036209, Class: 0.290751, Obj: 0.327478, No Obj: 0.489286, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.328699, Class: 0.420911, Obj: 0.523332, No Obj: 0.604318, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.151697, Class: 0.505518, Obj: 0.492464, No Obj: 0.495896, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.091811, Class: 0.601326, Obj: 0.854472, No Obj: 0.606278, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.216136, Class: 0.205920, Obj: 0.653767, No Obj: 0.497139, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.052155, Class: 0.453042, Obj: 0.791633, No Obj: 0.490311, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.128163, Class: 0.183854, Obj: 0.876107, No Obj: 0.602690, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.144014, Class: 0.352466, Obj: 0.508264, No Obj: 0.497052, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.093104, Class: 0.096693, Obj: 0.711476, No Obj: 0.497674, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.027265, Class: 0.103437, Obj: 0.866430, No Obj: 0.603094, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.162486, Class: 0.275472, Obj: 0.306603, No Obj: 0.497662, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.104727, Class: 0.811012, Obj: 0.666512, No Obj: 0.487506, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.236357, Class: 0.354391, Obj: 0.713961, No Obj: 0.603308, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.196795, Class: 0.191566, Obj: 0.893524, No Obj: 0.495073, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.284055, Class: 0.532104, Obj: 0.635584, No Obj: 0.489267, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.137077, Class: 0.691019, Obj: 0.768904, No Obj: 0.603726, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.090151, Class: 0.466567, Obj: 0.269530, No Obj: 0.498696, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.111540, Class: 0.360562, Obj: 0.178675, No Obj: 0.497240, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.081484, Class: 0.174841, Obj: 0.876459, No Obj: 0.604045, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.142416, Class: 0.323367, Obj: 0.470770, No Obj: 0.498119, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.083035, Class: 0.098857, Obj: 0.285604, No Obj: 0.496894, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.323907, Class: 0.643958, Obj: 0.486674, No Obj: 0.487767, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.265909, Class: 0.022204, Obj: 0.914369, No Obj: 0.602722, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.083087, Class: 0.269915, Obj: 0.074207, No Obj: 0.498439, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.043806, Class: 0.872727, Obj: 0.542142, No Obj: 0.487358, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.182934, Class: 0.996880, Obj: 0.993148, No Obj: 0.603741, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.108076, Class: 0.568956, Obj: 0.582221, No Obj: 0.497745, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.271676, Class: 0.441138, Obj: 0.944043, No Obj: 0.603897, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.156058, Class: 0.334393, Obj: 0.554163, No Obj: 0.497129, .5R: 0.000000, .75R: 0.000000,  count: 11
